type,name,state,lat,lon,to_spgr,elev,dt_reached,comment
TOWN,"Elk Park, NC 28622",NC,36.15,-81.98,385.5,,,
SHELTER,Moreland Gap Shelter,NC,36.2202123,-82.0883647,403.2,3815,,
SHELTER,Laurel Fork Shelter,NC,36.2786447,-82.1362319,411.2,2450,,
TOWN,"Hampton, TN 37658",NC,36.28,-82.17,412,,,
SHELTER,Watauga Lake Shelter,NC,36.3139645,-82.1293868,420,2130,,
SHELTER,Vandeventer Shelter,NC,36.3670304,-82.0588044,426.8,3620,,
SHELTER,Iron Mountain Shelter,NC,36.4356175,-81.9908857,433.6,4125,,
SHELTER,Double Springs Shelter,NC,36.5090586,-81.9860558,441.2,4060,,
TOWN,"Shady Valley, TN 37688",NC,36.52,-81.93,444.7,,,
SHELTER,Abingdon Gap Shelter,NC,36.5810973,-81.902055,458.8,3780,,
HOSTEL,The Place,VA,36.633898,-81.7872829,454.4,3310,,
TOWN,"Damascus, VA 24236",VA,36.63,-81.78,459.5,,,
SHELTER,Saunders Shelter,VA,36.6377834,-81.7129853,468.9,3310,,
SHELTER,Lost Mountain Shelter,VA,36.6441387,-81.6561153,475.3,3360,,
FEATURE,Mt Rogers,VA,36.6597,-81.5447,487.1,5729,,
SHELTER,Thomas Knob Shelter,VA,36.6566421,-81.5351811,487.5,5400,,
SHELTER,Wise Shelter,VA,36.6540027,-81.4984093,492.6,4460,,
SHELTER,Old Orchard Shelter,VA,36.6832923,-81.5110583,498.5,4050,,
TOWN,"Troutdale, VA 24378",VA,36.69,-81.44,508.7,,,
SHELTER,Raccoon Branch Shelter,VA,36.7309988,-81.4718118,510.2,3570,,
SHELTER,Trimpi Shelter,VA,36.7492587,-81.480436,512.6,2900,,
SHELTER,Partnership Shelter,VA,36.8094783,-81.422411,523.2,3360,,
TOWN,"Sugar Grove, VA 24375",VA,36.78,-81.42,523.3,,,
SHELTER,Chatfield Shelter,VA,36.8499831,-81.3631238,530.3,3150,,
TOWN,"Atkins, VA 24311",VA,36.87,-81.42,534.8,,,
SHELTER,Davis Path Shelter,VA,36.9145127,-81.3767313,537.5,2840,,
SHELTER,Knot Maul Branch Shelter,VA,37.000737,-81.4043773,548.7,2880,,
SHELTER,Chestnut Knob Shelter,VA,37.0577631,-81.3993256,557.7,4409,,
SHELTER,Jenkins Shelter,VA,37.0934615,-81.2476124,567.7,2500,,
TOWN,"Bland, VA 24315",VA,37.1,-81.12,579.2,,,
TOWN,"Bastian, VA 24314",VA,37.15,-81.15,579.2,,,
SHELTER,Helveys Mill Shelter,VA,37.1326964,-81.1042278,581.5,3090,,
SHELTER,Jenny Knob Shelter,VA,37.155056,-80.9800855,591.3,2800,,
SHELTER,Wapiti Shelter,VA,37.2240141,-80.8239444,605.5,2640,,
SHELTER,Doc's Knob Shelter,VA,37.2702763,-80.836224,613.9,3555,,
TOWN,"Pearisburg, VA 24134",VA,37.33,-80.73,622.1,,,
SHELTER,Rice Field Shelter,VA,37.3748614,-80.7583543,628.8,3375,,
SHELTER,Pine Swamp Branch Shelter,VA,37.4221543,-80.608555,641.3,2530,,
SHELTER,Bailey Gap Shelter,VA,37.4009267,-80.5770362,645,3525,,
SHELTER,War Spur Shelter,VA,37.3976093,-80.4738348,653.8,2340,,
SHELTER,Laurel Creek Shelter,VA,37.3589782,-80.4209807,659.6,2720,,
SHELTER,Sarver Hollow Shelter,VA,37.3554515,-80.3351967,666,3000,,
SHELTER,Niday Shelter,VA,37.3875539,-80.2642126,672,1800,,
SHELTER,Pickle Branch Shelter,VA,37.3881068,-80.1911152,681.9,1845,,
TOWN,"Catawba, VA 24070",VA,37.38,-80.12,694.5,,,
SHELTER,Boy Scout Shelter,VA,37.3853788,-80.073909,695.5,1980,,
SHELTER,Catawba Mountain Shelter,VA,37.3882625,-80.0571996,696.5,2145,,
FEATURE,McAfee Knob,VA,37.392421,-80.036987,698.2,3197,,
SHELTER,Campbell Shelter,VA,37.3908569,-80.0292814,698.9,2580,,
SHELTER,Lamberts Meadow Shelter,VA,37.4346261,-79.9875626,704.9,2080,,
TOWN,"Cloverdale, VA 24077",VA,37.37,-79.9,714.3,,,
TOWN,"Daleville, VA 24083",VA,37.42,-79.92,714.3,,,
TOWN,"Troutville, VA 24175",VA,37.42,-79.88,715.8,,,
SHELTER,Fullhardt Knob Shelter,VA,37.3985317,-79.8537058,719.3,2670,,
SHELTER,Wilson Creek Shelter,VA,37.4193262,-79.7855048,725.5,1830,,
SHELTER,Bobblets Gap Shelter,VA,37.4672608,-79.7012044,732.8,1920,,
TOWN,"Buchanan, VA 24066",VA,37.53,-79.68,735.9,,,
SHELTER,Cove Mountain Shelter,VA,37.5117698,-79.6508263,739.2,1925,,
SHELTER,Bryant Ridge Shelter,VA,37.5301026,-79.585326,746.1,1320,,
SHELTER,Cornelius Creek Shelter,VA,37.4939756,-79.5469707,751.1,3145,,
FEATURE,Apple Orchard Mtn,VA,37.5167,-79.5,755.2,4063,,
SHELTER,Thunder Hill Shelter,VA,37.5274386,-79.5039496,756.4,3960,,
SHELTER,Matts Creek Shelter,VA,37.5995108,-79.4132249,768.8,835,,
TOWN,"Glasgow, VA 24555",VA,37.63,-79.45,771,,,
TOWN,"Big Island, VA 24526",VA,37.53,-79.37,771,,,
SHELTER,Johns Hollow Shelter,VA,37.6130592,-79.3918448,772.7,1020,,
SHELTER,Punchbowl Shelter,VA,37.6778118,-79.3385164,781.5,2500,,
SHELTER,Brown Mountain Creek Shelter,VA,37.7102862,-79.2679286,791,1395,,
TOWN,"Buena Vista, VA 24416",VA,37.73,-79.35,792.8,,,
SHELTER,Cow Camp Shelter,VA,37.7466787,-79.2130641,796.6,3160,,
SHELTER,Seeley-Woodworth Shelter,VA,37.8189848,-79.1548883,806.8,3770,,
TOWN,"Montebello, VA 24464",VA,37.87,-79.13,809.1,,,
SHELTER,The Priest Shelter,VA,37.8178045,-79.0703443,813.7,3840,,
FEATURE,The Priest (4063 ft),VA,37.8197,-79.0628,814.2,4063,,
SHELTER,Harpers Creek Shelter,VA,37.8564688,-79.0009732,821.1,1800,,
SHELTER,Maupin Field Shelter,VA,37.8849346,-78.9935968,827.3,2720,,
SHELTER,Paul C. Wolfe Shelter,VA,37.9856889,-78.8836462,843.4,1700,,
TOWN,"Waynesboro, VA 22980",VA,38.07,-78.88,848.4,,,
FEATURE,Southern Boundary SNP,VA,,,849.2,2200,,
SHELTER,Calf Mountain Shelter,VA,38.0855703,-78.7865632,855.4,2700,,
SHELTER,Blackrock Hut,VA,38.2141322,-78.7423944,868.4,2645,,
SHELTER,Pinefield Hut,VA,38.2905971,-78.6457316,881.6,2430,,
SHELTER,Hightop Hut,VA,38.3330855,-78.5583619,889.8,3175,,
SHELTER,Bearfence Mountain Hut,VA,38.4441242,-78.4704345,902.2,3110,,
FEATURE,Hazeltop Mt,VA,38.479782,-78.449997,905.7,3812,,
SHELTER,Rock Spring Hut,VA,38.5531171,-78.408309,913.7,3465,,
FEATURE,Stony Man Mt,VA,38.597886,-78.371919,918.7,4011,,
SHELTER,Pass Mountain Hut,VA,38.6766102,-78.3189085,929,2690,,
SHELTER,Gravel Springs Hut,VA,38.7635129,-78.2342133,942.1,2480,,
FEATURE,Northern Boundary SNP,VA,,,951.8,2300,,
SHELTER,Tom Floyd Wayside Shelter,VA,38.8504311,-78.1636383,952.6,1900,,
TOWN,"Front Royal, VA 22630",VA,38.92,-78.2,955.5,,,
SHELTER,Jim & Molly Denton Shelter,VA,38.8899997,-78.0830451,960.7,1310,,
TOWN,"Linden, VA 22642",VA,38.92,-78.08,963.7,,,
SHELTER,Manassas Gap Shelter,VA,38.9306324,-78.0327781,966.2,1655,,
SHELTER,Dick's Dome Shelter,VA,38.969954,-77.9967334,970.6,1230,,
SHELTER,Rod Hollow Shelter,VA,39.0478551,-77.9440873,979,840,,
HOSTEL,Bears Den Hostel,VA,39.1109872,-77.8541454,982.6,1380,,
SHELTER,Sam Moore Shelter,VA,39.0906766,-77.8862848,985.9,990,,
TOWN,"Bluemont, VA 20135",VA,39.12,-77.83,989.5,,,
HOSTEL,Blackburn Trail Center,VA,39.1878927,-77.7973796,996.8,1420,,
SHELTER,David Lesser Shelter,VA,39.227215,-77.7792448,1014.4,1421,,
TOWN,"Harpers Ferry, WV 25425",VA,39.3254,-77.7393,1023.7,274,,
SHELTER,Ed Garvey Shelter,MD,39.356454,-77.6642532,1030,1083,,
SHELTER,Crampton Gap Shelter,MD,39.4125585,-77.63734,1034.1,1163,,
SHELTER,Rocky Run Shelter,MD,39.4608415,-77.631046,1039.1,982,,
SHELTER,Pine Knob Shelter,MD,39.5425312,-77.6020871,1046.6,1378,,
TOWN,"Smithsburg, MD 21783",MD,39.65,-77.57,1054.6,1340,,
SHELTER,Ensign Cowall Shelter,MD,39.6277409,-77.5576192,1054.8,1384,,
SHELTER,Raven Rock Shelter,MD,39.6720608,-77.52433,1059.7,1647,,
TOWN,"Cascade, MD 21719",MD,39.72,-77.48,1064.3,1321,,
FEATURE,Mason Dixon Line,MD,39.719,-77.506,1064.3,1250,,
SHELTER,Deer Lick Shelters,PA,39.766212,-77.4848896,1055.1,1420,,
SHELTER,Antietam Shelter,PA,39.7938314,-77.4826513,1057.5,890,,
SHELTER,Tumbling Run Shelters,PA,39.805027,-77.4779358,1058.7,1120,,
TOWN,"South Mountain, PA 17261",PA,39.85,-77.48,1063.6,,,
SHELTER,Rocky Mountain Shelters,PA,39.8685824,-77.5005762,1065.3,1520,,
TOWN,"Fayetteville, PA 17222",PA,39.92,-77.55,1068.3,,,
SHELTER,Quarry Gap Shelters,PA,39.9319782,-77.486416,1070.9,1455,,
SHELTER,Birch Run Shelters,PA,39.9846095,-77.4204207,1078.3,1795,,
SHELTER,Toms Run Shelters,PA,40.0343123,-77.3569912,1084.5,1300,,
SHELTER,James Fry Shelter,PA,40.0629915,-77.2060616,1095.4,805,,
TOWN,"Mt. Holly Springs, PA 17065",PA,40.12,-77.18,1098.8,,,
SHELTER,Alec Kennedy Shelter,PA,40.1119419,-77.1039282,1103.7,850,,
TOWN,"Boiling Springs, PA 17007",PA,40.15,-77.13,1107.6,,,
SHELTER,Darlington Shelter,PA,40.301999,-77.0870194,1121.9,1170,,
TOWN,"Duncannon, PA 17020",PA,40.4,-77.02,1133.2,,,
SHELTER,Clarks Ferry Shelter,PA,40.3922413,-76.993699,1137.8,1060,,
SHELTER,Peters Mountain Shelter,PA,40.4258053,-76.8793499,1144.6,1180,,
SHELTER,Rausch Gap Shelter,PA,40.4985403,-76.6001781,1162.1,970,,
SHELTER,William Penn Shelter,PA,40.4956167,-76.4140005,1175.4,1300,,
TOWN,"Pine Grove, PA 17963",PA,40.55,-76.38,1179.5,,,
SHELTER,501 Shelter,PA,40.5125193,-76.3465319,1180,1460,,
SHELTER,Eagles Nest Shelter,PA,40.5493069,-76.1523183,1194.6,1510,,
TOWN,"Port Clinton, PA 19549",PA,40.58,-76.02,1203.2,,,
SHELTER,Windsor Furnace Shelter,PA,40.5903023,-75.9419384,1209.3,880,,
FEATURE,The Pinnacle,PA,40.612732,-75.912438,1213.1,1615,,
SHELTER,Eckville Shelter,PA,40.632854,-75.958437,1218.4,535,,
SHELTER,Allentown Shelter,PA,40.6830742,-75.8740029,1225.8,1350,,
SHELTER,Bake Oven Knob Shelter,PA,40.7541307,-75.727027,1235.8,1380,,
SHELTER,George W. Outerbridge Shelter,PA,40.7824958,-75.6179417,1242.6,1000,,
TOWN,"Slatington, PA 18080",PA,40.75,-75.62,1243.2,,,
TOWN,"Palmerton, PA 18071",PA,40.8,-75.62,1243.3,,,
TOWN,"Danielsville, PA 18038",PA,40.8,-75.53,1248.5,,,
SHELTER,Leroy A. Smith Shelter,PA,40.8393601,-75.3594183,1259.3,1410,,
TOWN,"Wind Gap, PA 18091",PA,40.85,-75.3,1263.9,,,
SHELTER,Kirkridge Shelter,PA,40.9367036,-75.1864659,1273.1,1480,,
TOWN,"Delaware Water Gap, PA 18327",PA,41,-75.15,1279.5,,,
FEATURE,Sunfish Pond,NJ,41.0029,-75.0733,1285.6,1280,,
SHELTER,Brink Road Shelter,NJ,41.1532025,-74.8377673,1304.3,1110,,
TOWN,"Branchville, NJ 07826",NJ,41.15,-74.75,1307.9,,,
SHELTER,Gren Anderson Shelter,NJ,41.1993948,-74.7526601,1310.9,1320,,
SHELTER,Mashipacong Shelter,NJ,41.2521191,-74.6864109,1316.7,1425,,
SHELTER,Rutherford Shelter,NJ,41.2774709,-74.678038,1319.6,1345,,
SHELTER,High Point Shelter,NJ,41.3277535,-74.643334,1323.9,1280,,
TOWN,"Unionville, NY 10988",NJ,41.3,-74.57,1331,,,
SHELTER,Pochuck Mountain Shelter,NJ,41.271666,-74.5158464,1336.3,840,,
FEATURE,Pochuck Mt,NJ,41.268912,-74.514512,1337.8,985,,
TOWN,"Glenwood, NJ 07418",NJ,41.25,-74.48,1340.5,,,
TOWN,"Vernon, NJ 07462",NJ,41.2,-74.48,1342.8,,,
FEATURE,Wawayanda Mt,NJ,41.204842,-74.403629,1344.2,1280,,
SHELTER,Wawayanda Shelter,NJ,41.2021897,-74.3980628,1348.1,1200,,
TOWN,"Greenwood Lake, NY 10925",NY,41.22,-74.3,1354.6,,,
TOWN,"Bellvale, NY 10912",NY,41.25,-74.32,1358,,,
SHELTER,Wildcat Shelter,NY,41.2683493,-74.2678444,1360.1,1180,,
TOWN,"Southfields, NY 10975",NY,41.25,-74.18,1370.1,,,
TOWN,"Arden, NY 10910",NY,41.27,-74.15,1370.1,,,
SHELTER,Fingerboard Shelter,NY,41.2632811,-74.1039993,1374.4,1300,,
SHELTER,William Brien Memorial Shelter,NY,41.2796995,-74.0594404,1379.7,1070,,
SHELTER,West Mountain Shelter,NY,41.2840954,-74.0106693,1382.8,1240,,
FEATURE,Bear Mountain,NY,41.312778,-74.006667,1386,1305,,
TOWN,"Bear Mountain, NY 10911",NY,41.32,-73.98,1387.8,,,
FEATURE,Bear Mountain Zoo,NY,41.319,-73.988,1388.5,124,,
TOWN,"Fort Montgomery, NY 10922",NY,41.32,-73.98,1388.6,,,
TOWN,"Peekskill, NY 10566",NY,41.28,-73.92,1394.4,,,
SHELTER,RPH Shelter,NY,41.5143776,-73.7924771,1413.8,360,,
TOWN,"Stormville, NY 12582",NY,41.57,-73.75,1418.9,,,
SHELTER,Morgan Stewart Memorial Shelter,NY,41.5645419,-73.6916941,1422.8,1285,,
TOWN,"Poughquag, NY 12570",NY,41.62,-73.68,1426.1,,,
SHELTER,Telephone Pioneers Shelter,NY,41.6042669,-73.6188684,1430.4,910,,
TOWN,"Pawling, NY 12564",NY,41.57,-73.6,1431.1,,,
SHELTER,Wiley Shelter,NY,41.6377394,-73.5322772,1439.4,740,,
TOWN,"Windgdale, NY 12594",NY,41.65,-73.57,1440.6,,,
SHELTER,Ten Mile River Lean-to,CT,41.6650626,-73.5094805,1443.4,290,,
SHELTER,Mt. Algo Lean-to,CT,41.7316445,-73.4961982,1451.8,655,,
TOWN,"Kent, CT 06757",CT,41.72,-73.48,1452.1,,,
SHELTER,Stewart Hollow Brook Lean-to,CT,41.7785903,-73.4193254,1459.1,425,,
TOWN,"Cornwall Bridge, CT 06754",CT,41.82,-73.37,1463.2,,,
TOWN,"West Cornwell, CT 06796",CT,41.87,-73.37,1468,,,
SHELTER,Pine Swamp Brook Lean-to,CT,41.8816194,-73.3916426,1469.1,1075,,
TOWN,"Falls Village, CT 06031",CT,41.95,-73.37,1477.3,,,
SHELTER,Limestone Spring Lean-to,CT,41.9751184,-73.3918416,1481.4,980,,
TOWN,"Salisbury, CT 06068",CT,41.98,-73.42,1485.5,,,
SHELTER,Riga Lean-to,CT,42.0145809,-73.4477093,1488.9,1610,,
SHELTER,Brassie Brook Lean-to,CT,42.0283133,-73.4531448,1490.1,1705,,
FEATURE,Bear Mountain,CT,42.044861,-73.454394,1491.5,2316,,
FEATURE,Mt Everett,MA,42.101906,-73.432637,1497.8,2602,,
SHELTER,The Hemlocks Lean-to,MA,42.1099058,-73.4290072,1498.9,1880,,
SHELTER,Glen Brook Lean-to,MA,42.1111405,-73.4283271,1499,1885,,
TOWN,"South Egremont, MA 01258",MA,42.17,-73.42,1503.3,,,
TOWN,"Sheffield, MA 01157",MA,42.12,-73.35,1506.9,,,
SHELTER,Tom Leonard Lean-to,MA,42.1648154,-73.3057738,1513.3,1540,,
TOWN,"Monterey, MA 01245",MA,42.18,-73.22,1515.3,,,
TOWN,"Great Barrington, MA 01230",MA,42.2,-73.37,1515.3,,,
SHELTER,Mt. Wilcox South Lean-to,MA,42.2077997,-73.2680723,1518.6,1720,,
SHELTER,Mt. Wilcox North Lean-to,MA,42.2210009,-73.2500875,1520.4,1950,,
TOWN,"Tyringham, MA 01264",MA,42.25,-73.2,1527.4,,,
CABIN,Upper Goose Pond Cabin,MA,42.2886577,-73.1812741,1534.4,1483,,
TOWN,"Lee, MA 01238",MA,42.3,-73.25,1536,,,
SHELTER,October Mountain Lean-to,MA,42.3548505,-73.1540631,1543.2,1930,,
TOWN,"Becket, MA 01223",MA,42.33,-73.08,1545.4,,,
SHELTER,Kay Wood Lean-to,MA,42.4524847,-73.1614318,1552,1860,,
TOWN,"Dalton, MA 01226",MA,42.47,-73.17,1555,,,
TOWN,"Chesire, MA 01225",MA,42.56,-73.16,1563.6,,,
LODGE,Bascom Lodge,MA,42.6368722,-73.1673664,1566.2,3491,,
SHELTER,Mark Noepel Lean-to,MA,42.6085306,-73.1840666,1568.7,2750,,
FEATURE,Mt Greylock,MA,42.6376,-73.1662,1572,3491,,
SHELTER,Wilbur Clearing Lean-to,MA,42.6684803,-73.169763,1575.3,2325,,
TOWN,"Williamstown, MA 01267",MA,42.72,-73.2,1578.3,,,
TOWN,"North Adams, MA 01247",MA,42.7,-73.12,1578.3,,,
SHELTER,Seth Warner Shelter,VT,42.7718212,-73.1371042,1585.2,2180,,
SHELTER,Congdon Shelter,VT,42.848027,-73.1098984,1592.4,2060,,
TOWN,"Bennington, VT 05201",VT,42.88,-73.2,1596.7,,,
SHELTER,Melville Nauheim Shelter,VT,42.8877598,-73.0957097,1598.3,2330,,
SHELTER,Goddard Shelter,VT,42.9741132,-73.072156,1606.8,3540,,
FEATURE,Glastenbury Mtn,VT,42.977928,-73.071635,1607.1,3748,,
SHELTER,Kid Gore Shelter,VT,43.013011,-73.0410989,1611.1,2795,,
SHELTER,Caughnawaga Shelter,VT,43.0149833,-73.0436322,1611.1,2795,,
SHELTER,Story Spring Shelter,VT,43.0505177,-73.0125342,1615.7,2810,,
FEATURE,Stratton Mtn,VT,43.086218,-72.925101,1623.1,3936,,
SHELTER,Stratton Pond Shelter,VT,43.1013834,-72.9683113,1626.2,2565,,
SHELTER,William B. Douglas Shelter,VT,43.1444805,-72.9909392,1631,2210,,
SHELTER,Spruce Peak Shelter,VT,43.1785732,-72.9952017,1634,2180,,
TOWN,"Manchester Center, VT 05255",VT,43.17,-73.07,1636.8,,,
FEATURE,Bromley Mtn,VT,43.227942,-72.940079,1639.8,3260,,
SHELTER,Peru Peak Shelter,VT,43.3012945,-72.9523941,1646.9,2605,,
SHELTER,Old Job Shelter,VT,43.3540508,-72.9284574,1653.1,1665,,
SHELTER,Big Branch Shelter,VT,43.3640482,-72.9464144,1653.3,1460,,
TOWN,"Danby, VT 05739",VT,43.35,-73,1654.6,,,
SHELTER,Lula Tye Shelter,VT,43.395432,-72.9547876,1656.3,1920,,
SHELTER,Little Rock Pond Shelter,VT,43.4041957,-72.9531293,1657,1885,,
SHELTER,Greenwall Shelter,VT,43.4404004,-72.9286539,1661.4,2025,,
TOWN,"Wallingford, VT 05773",VT,43.47,-72.98,1662.9,,,
SHELTER,Minerva Hinchey Shelter,VT,43.4877651,-72.924512,1666.5,1605,,
SHELTER,Clarendon Shelter,VT,43.5235048,-72.9126323,1670.2,1190,,
SHELTER,Governor Clement Shelter,VT,43.5645389,-72.8482911,1676,1900,,
FEATURE,Killington Peak,VT,43.604717,-72.820177,1680.2,4235,,
SHELTER,Cooper Lodge,VT,43.6059204,-72.8224568,1680.3,3900,,
SHELTER,Pico Camp Shelter,VT,43.6390052,-72.8304753,1682.8,3510,,
SHELTER,Gifford Woods State Park,VT,43.6760768,-72.8112152,1684.7,1620,,
SHELTER,Tucker Johnson Shelter,VT,43.6791776,-72.8431249,1687.6,2300,,
TOWN,"Killington, VT 05751",VT,43.67,-72.77,1689.8,,,
SHELTER,Stony Brook Shelter,VT,43.6917617,-72.7300992,1696.6,1380,,
SHELTER,Wintturi Shelter,VT,43.6621517,-72.6220788,1706.5,1910,,
TOWN,"Woodstock, VT 05091",VT,43.62,-72.52,1710.3,,,
TOWN,"South Pomfret, VT 05067",VT,43.67,-72.53,1711.8,,,
SHELTER,Thistle Hill Shelter,VT,43.6951404,-72.4752994,1718.1,1740,,
TOWN,"West Hartford, VT 05084",VT,43.72,-72.42,1722.9,,,
SHELTER,Happy Hill Shelter,VT,43.7238454,-72.3651575,1726.9,1420,,
TOWN,"Norwich, VT 05055",VT,43.72,-72.32,1731.2,,,
TOWN,"Hanover, NH 03755",NH,43.7,-72.28,1732.7,,,
SHELTER,Velvet Rocks Shelter,NH,43.7024433,-72.2646545,1734.2,1040,,
SHELTER,Moose Mountain Shelter,NH,43.7277929,-72.1469437,1743.7,1850,,
SHELTER,Trapper John Shelter,NH,43.7829969,-72.1114604,1749.4,1345,,
